time_noise,start_sample,matched_peak_rows,file,return_sample,sweep
"[np.float64(60.637699999999995), np.float64(60.63775), np.float64(60.6378), np.float64(60.63785), np.float64(60.6379), np.float64(60.63795), np.float64(60.638), np.float64(60.63805)]",212754,[],2023_08_23_0034.abf,212761,2
"[np.float64(83.7487), np.float64(83.74875), np.float64(83.7488), np.float64(83.74885), np.float64(83.7489), np.float64(83.74895), np.float64(83.749), np.float64(83.74905)]",174974,"[{'Event.Number': '1204', 'Record': '3', 'Event.Time..s.': '83.7489', 'Baseline..pA.': '-45.533116052453', 'Peak..pA.': '-322.610017032357', 'Amplitude..pA.': '-277.076900979904', 'Rise.Time..ms.': '0.10000000000332', 'Half.Width..ms.': '0.349999999997408', 'Decay.Time..ms.': '0.0999999999891088', 'Decay.Fit.b0': '-42.9976267034716', 'Decay.Fit.b1': '-282.196851711068', 'Decay.Fit.Tau..ms.': '0.123171425594855', 'AUC..pA.ms.': '-46.0909387752543', 'rise_max_time': '83.7487', 'baseline_time': '83.7486', 'event_index': '174978', 'file_prefix': '2023_08_23_0034', 'event_id': '2023_08_23_0034_ev01204_rec3', 'noise': 'yes', 'event_entry_number': '35991', 'corrected_peak_index': 174991, 'corrected_peak_time': np.float64(83.74955), 'corrected_peak_pA': np.float64(-48.370357513427734), 'corrected_peak_amp_pA': np.float64(-2.837241460974731)}]",2023_08_23_0034.abf,174981,3
"[np.float64(84.6846), np.float64(84.68465), np.float64(84.6847), np.float64(84.68475), np.float64(84.6848), np.float64(84.68485)]",193692,[],2023_08_23_0034.abf,193697,3
"[np.float64(85.59265), np.float64(85.5927), np.float64(85.59275), np.float64(85.5928), np.float64(85.59285), np.float64(85.5929), np.float64(85.59295), np.float64(85.593), np.float64(85.59305)]",211853,[],2023_08_23_0034.abf,211861,3
"[np.float64(7.74935), np.float64(7.7494), np.float64(7.7494499999999995), np.float64(7.749499999999999), np.float64(7.749549999999999), np.float64(7.749599999999999), np.float64(7.749649999999999), np.float64(7.749699999999999), np.float64(7.74975)]",154987,[],2023_08_23_0037.abf,154995,0
"[np.float64(9.059949999999999), np.float64(9.059999999999999), np.float64(9.060049999999999), np.float64(9.060099999999998), np.float64(9.060149999999998), np.float64(9.0602), np.float64(9.06025), np.float64(9.0603)]",181199,[],2023_08_23_0037.abf,181206,0
"[np.float64(9.762699999999999), np.float64(9.762749999999999), np.float64(9.762799999999999), np.float64(9.762849999999998), np.float64(9.762899999999998), np.float64(9.76295)]",195254,[],2023_08_23_0037.abf,195259,0
"[np.float64(32.79615), np.float64(32.7962), np.float64(32.79625), np.float64(32.796299999999995), np.float64(32.79635), np.float64(32.7964), np.float64(32.79644999999999)]",155923,[],2023_08_23_0037.abf,155929,1
"[np.float64(33.8013), np.float64(33.80135), np.float64(33.8014), np.float64(33.801449999999996), np.float64(33.8015), np.float64(33.80155), np.float64(33.80159999999999), np.float64(33.801649999999995)]",176026,[],2023_08_23_0037.abf,176033,1
"[np.float64(34.771499999999996), np.float64(34.77155), np.float64(34.7716), np.float64(34.771649999999994), np.float64(34.771699999999996), np.float64(34.77175)]",195430,"[{'Event.Number': '383', 'Record': '1', 'Event.Time..s.': '34.7717', 'Baseline..pA.': '74.7633049758693', 'Peak..pA.': '163.123965541435', 'Amplitude..pA.': '88.3606605655657', 'Rise.Time..ms.': '0.299999999995748', 'Half.Width..ms.': '0.400000000006173', 'Decay.Time..ms.': '0.500000000002387', 'Decay.Fit.b0': '74.9308569685742', 'Decay.Fit.b1': '49.0581556547982', 'Decay.Fit.Tau..ms.': '1.18156052651235', 'AUC..pA.ms.': '94.0529602707756', 'rise_max_time': '34.7717', 'baseline_time': '34.77135', 'event_index': '195434', 'file_prefix': '2023_08_23_0037', 'event_id': '2023_08_23_0037_ev00383_rec1', 'noise': 'no', 'event_entry_number': '37542', 'corrected_peak_index': 195445, 'corrected_peak_time': np.float64(34.77225), 'corrected_peak_pA': np.float64(89.26390838623047), 'corrected_peak_amp_pA': np.float64(14.500603410361165)}]",2023_08_23_0037.abf,195435,1
"[np.float64(59.13295), np.float64(59.132999999999996), np.float64(59.13305), np.float64(59.1331), np.float64(59.13315), np.float64(59.1332), np.float64(59.13325)]",182659,[],2023_08_23_0037.abf,182665,2
"[np.float64(60.56895), np.float64(60.569), np.float64(60.56905), np.float64(60.5691), np.float64(60.56915), np.float64(60.569199999999995), np.float64(60.56925)]",211379,[],2023_08_23_0037.abf,211385,2
"[np.float64(83.77735), np.float64(83.7774), np.float64(83.77745), np.float64(83.7775), np.float64(83.77755), np.float64(83.77759999999999), np.float64(83.77765), np.float64(83.7777)]",175547,[],2023_08_23_0037.abf,175554,3
"[np.float64(84.7472), np.float64(84.74725), np.float64(84.7473), np.float64(84.74735), np.float64(84.7474), np.float64(84.74745)]",194944,[],2023_08_23_0037.abf,194949,3
"[np.float64(85.96679999999999), np.float64(85.96685), np.float64(85.9669), np.float64(85.96695), np.float64(85.967), np.float64(85.96705), np.float64(85.9671), np.float64(85.96715)]",219336,"[{'Event.Number': '900', 'Record': '3', 'Event.Time..s.': '85.96695', 'Baseline..pA.': '77.5437127976191', 'Peak..pA.': '416.564910888672', 'Amplitude..pA.': '339.021198091053', 'Rise.Time..ms.': '4.04999999999234', 'Half.Width..ms.': '0.200000000006639', 'Decay.Time..ms.': '0.0500000000016598', 'Decay.Fit.b0': '74.6683711561843', 'Decay.Fit.b1': '348.74021759489', 'Decay.Fit.Tau..ms.': '0.0690251963734047', 'AUC..pA.ms.': '-3.67410757882264', 'rise_max_time': '85.96695', 'baseline_time': '85.96265', 'event_index': '219339', 'file_prefix': '2023_08_23_0037', 'event_id': '2023_08_23_0037_ev00900_rec3', 'noise': 'yes', 'event_entry_number': '38059', 'corrected_peak_index': 219353, 'corrected_peak_time': np.float64(85.96765), 'corrected_peak_pA': np.float64(77.81982421875), 'corrected_peak_amp_pA': np.float64(0.27611142113090636)}]",2023_08_23_0037.abf,219343,3
"[np.float64(9.7599), np.float64(9.75995), np.float64(9.76), np.float64(9.76005), np.float64(9.7601), np.float64(9.76015)]",195198,[],2023_08_23_0038.abf,195203,0
"[np.float64(10.700849999999999), np.float64(10.700899999999999), np.float64(10.700949999999999), np.float64(10.700999999999999)]",214017,[],2023_08_23_0038.abf,214020,0
