corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_14_0036_ev00239_rec0,0,-158.0810546875,,-145.893656388399,13.19015,277062,13.1906,2026_01_14_0036,239,,,14.5926784345601,263812,13.18945,0.450000000000728,no,-2.4995349702381,0.599999999998602,-10.5412674790269,155.043465750558,0,-155.581519717262
,2026_01_14_0036_ev00240_rec0,0,-154.11376953125,,-149.917484768827,13.24355,277063,13.24375,2026_01_14_0036,240,,,3.23742236189945,264875,13.24175,1.25000000000064,no,-6.6557384672619,7.14999999999932,-5.430467268456,-102.694556826637,24.1000000000007,-147.458031063988
,2026_01_14_0036_ev00241_rec0,0,-153.50341796875,,-150.43999000921,13.2596,277064,13.2596,2026_01_14_0036,241,,,0.670216041515638,265192,13.25935,0.14999999999965,no,-2.22342354910714,0.249999999999417,-1.49143129683414,23.5563005719867,0,-151.279994419643
,2026_01_14_0036_ev00242_rec0,0,-159.3017578125,,-150.163069445765,13.28485,277065,13.28485,2026_01_14_0036,242,,,0.160317313645189,265697,13.28375,0.949999999999562,no,-6.75746372767858,0.299999999999301,-7.14130816229276,69.9724469866068,0.0499999999998835,-152.544294084821
,2026_01_14_0036_ev00243_rec0,0,-157.16552734375,,-148.202829617744,13.3236,277066,13.32365,2026_01_14_0036,243,,,2.19398616575132,266473,13.32335,0.199999999999534,no,-5.58035714285714,0.299999999999301,-6.81945178058987,85.8764648437501,0.500000000000611,-151.585170200893
,2026_01_14_0036_ev00244_rec0,0,-152.28271484375,,-146.276751249854,13.37975,277067,13.37975,2026_01_14_0036,244,,,2.44894040757556,267595,13.37935,0.400000000000844,no,-5.75474330357142,0.300000000001077,-2.76855601229067,-0.483921595981777,0.349999999999184,-146.527971540179
,2026_01_14_0036_ev00245_rec0,0,-162.963851928711,,-150.368599928693,13.41785,277068,13.41935,2026_01_14_0036,245,,,5.89462168855798,268387,13.41625,1.10000000000099,no,-14.0380706787109,7.7499999999997,-14.2216086931569,-155.883737945557,7.84999999999947,-148.92578125
,2026_01_14_0036_ev00246_rec0,0,-146.78955078125,,-111221.263757534,13.54365,277069,13.5441,2026_01_14_0036,246,,,521261.458263674,270882,13.54335,0.300000000001077,no,-4.2724609375,3.20000000000142,111077.179517548,-146.446224975586,0.0499999999998835,-142.51708984375
,2026_01_14_0036_ev00247_rec0,0,-163.879379272461,,-141.456423618813,13.5737,277070,13.57395,2026_01_14_0036,247,,,16.9384341307374,271479,13.5729,0.500000000000611,no,-15.8545931861514,3.65000000000038,-17.6702490294638,-59.5085446312316,5.95000000000034,-148.02478608631
,2026_01_14_0036_ev00248_rec0,0,-2170.71533203125,,-1780.21095556406,13.67135,277071,13.67205,2026_01_14_0036,248,,,8.44491853983951,273441,13.66265,6.70000000000037,yes,-1857.83750842866,31.0999999999986,-329.669450473625,-50882.809273529,29.9999999999994,-312.877823602586
,2026_01_14_0036_ev00249_rec0,0,-525.5126953125,,47190.4850781817,13.8463,277072,13.8488,2026_01_14_0036,249,,,11314.7581832131,276976,13.83485,10.250000000001,no,-98.9060480026972,20.8500000000011,-47717.1330649137,-1905.24567972819,15.0500000000005,-426.606647309803
,2026_01_14_0036_ev00250_rec0,0,-227.050765991211,,-184.080168768539,14.00365,277073,14.00475,2026_01_14_0036,250,,,6.29050955578138,280095,14.00235,1.09999999999921,no,-15.593029203869,3.29999999999941,-41.4425492369779,535.802205403646,1.39999999999851,-211.457736787342
